match_id,date,manager_id,team,opponent,competition,goals_for,goals_against,opponent_strength,formation,ppda,defensive_line_height,build_up_directness,possession_share,transition_attacks,set_piece_xg,first_sub_minute,substitution_count,leading_minutes,trailing_minutes,source
3942752,2024-07-09,spain_de_la_fuente,Spain,France,UEFA Euro,2,1,86.5,4-2-3-1,13.24,43.94,26.345,0.5922,0,0.1496,57.0,5,65.62,12.23,statsbomb_open_data:3942752:Luis de la Fuente Castillo
3943043,2024-07-14,spain_de_la_fuente,Spain,England,UEFA Euro,2,1,86.5,4-2-3-1,10.135,47.426,23.255,0.6223,2,1.104,45.0,4,30.05,0.0,statsbomb_open_data:3943043:Luis de la Fuente Castillo
3857290,2022-11-24,switzerland_yakin,Switzerland,Cameroon,FIFA World Cup,1,0,70.0,4-2-3-1,16.25,41.968,27.223,0.4946,0,1.1678,70.0,5,42.45,0.0,statsbomb_open_data:3857290:Murat Yakin
3857269,2022-11-28,switzerland_yakin,Switzerland,Brazil,FIFA World Cup,0,1,86.5,4-2-3-1,21.252,34.11,24.271,0.4435,0,0.1969,57.0,5,0.0,7.75,statsbomb_open_data:3857269:Murat Yakin
3857256,2022-12-02,switzerland_yakin,Switzerland,Serbia,FIFA World Cup,3,2,70.0,4-2-3-1,20.988,40.006,32.325,0.4358,0,2.3318,67.0,4,49.12,9.22,statsbomb_open_data:3857256:Murat Yakin
3869254,2022-12-06,switzerland_yakin,Switzerland,Portugal,FIFA World Cup,1,6,86.5,3-5-2,19.01,47.287,25.556,0.5254,0,1.1455,45.0,5,0.0,73.28,statsbomb_open_data:3869254:Murat Yakin
3930159,2024-06-15,switzerland_yakin,Switzerland,Hungary,UEFA Euro,3,1,70.0,3-4-2-1,12.474,46.394,24.757,0.5294,1,0.5805,67.0,5,78.08,0.0,statsbomb_open_data:3930159:Murat Yakin
3930169,2024-06-19,switzerland_yakin,Switzerland,Scotland,UEFA Euro,1,1,86.5,3-4-1-2,12.226,40.888,27.239,0.5112,1,0.3491,58.0,5,0.0,12.93,statsbomb_open_data:3930169:Murat Yakin
3930176,2024-06-23,switzerland_yakin,Switzerland,Germany,UEFA Euro,1,1,86.5,3-4-2-1,17.749,43.381,33.213,0.3319,0,0.0464,64.0,3,62.13,0.0,statsbomb_open_data:3930176:Murat Yakin
3940878,2024-06-29,switzerland_yakin,Switzerland,Italy,UEFA Euro,2,0,70.0,3-4-2-1,17.433,44.428,24.55,0.5293,0,0.2162,70.0,5,53.67,0.0,statsbomb_open_data:3940878:Murat Yakin
3942227,2024-07-06,switzerland_yakin,Switzerland,England,UEFA Euro,1,1,86.5,3-4-2-1,17.376,43.229,23.882,0.4832,2,4.1304,62.0,6,5.53,0.0,statsbomb_open_data:3942227:Murat Yakin
3879824,2016-04-17,turkiye_montella,Sampdoria,AC Milan,Serie A,0,1,70.0,3-4-2-1,12.955,45.442,33.514,0.4566,0,0.1975,55.0,3,0.0,19.37,statsbomb_open_data:3879824:Vincenzo Montella
3879831,2016-04-20,turkiye_montella,Sampdoria,Sassuolo,Serie A,0,0,70.0,3-4-2-1,17.781,33.737,40.771,0.2838,0,0.0899,45.0,3,0.0,0.0,statsbomb_open_data:3879831:Vincenzo Montella
3879838,2016-04-24,turkiye_montella,Sampdoria,Lazio,Serie A,2,1,70.0,3-5-2,14.399,42.328,36.201,0.4202,0,1.0205,64.0,3,12.68,16.45,statsbomb_open_data:3879838:Vincenzo Montella
3879852,2016-05-01,turkiye_montella,Sampdoria,Palermo,Serie A,0,2,70.0,3-5-1-1,8.576,41.392,29.363,0.6101,0,0.2621,45.0,3,0.0,71.62,statsbomb_open_data:3879852:Vincenzo Montella
3879865,2016-05-08,turkiye_montella,Sampdoria,Genoa,Serie A,0,3,70.0,3-5-2,9.995,43.386,32.507,0.5718,0,0.5346,57.0,3,0.0,87.17,statsbomb_open_data:3879865:Vincenzo Montella
3879870,2016-05-14,turkiye_montella,Sampdoria,Juventus,Serie A,0,5,70.0,3-5-1-1,18.292,34.777,24.913,0.3654,0,0.2068,54.0,3,0.0,85.07,statsbomb_open_data:3879870:Vincenzo Montella
9860,2018-03-31,turkiye_montella,Sevilla,Barcelona,La Liga,2,2,70.0,4-2-3-1,19.263,39.509,29.627,0.4137,2,0.9499,45.0,3,52.28,0.0,statsbomb_open_data:9860:Vincenzo Montella
3938639,2024-06-18,turkiye_montella,Turkey,Georgia,UEFA Euro,3,1,70.0,4-2-3-1,19.904,43.531,23.05,0.5598,0,1.2479,78.0,5,31.88,0.0,statsbomb_open_data:3938639:Vincenzo Montella
3930174,2024-06-22,turkiye_montella,Turkey,Portugal,UEFA Euro,0,3,86.5,4-2-3-1,18.765,45.797,24.253,0.4427,1,0.1227,45.0,5,0.0,69.03,statsbomb_open_data:3930174:Vincenzo Montella
3930184,2024-06-26,turkiye_montella,Turkey,Czech Republic,UEFA Euro,2,1,70.0,4-2-3-1,12.71,41.822,23.591,0.6397,1,0.5385,45.0,5,14.62,0.0,statsbomb_open_data:3930184:Vincenzo Montella
3941022,2024-07-02,turkiye_montella,Turkey,Austria,UEFA Euro,2,1,86.5,3-4-3,15.432,32.75,27.705,0.3944,1,0.7169,57.0,4,89.03,0.0,statsbomb_open_data:3941022:Vincenzo Montella
3942382,2024-07-06,turkiye_montella,Turkey,Netherlands,UEFA Euro,1,2,86.5,3-4-3,16.439,37.517,26.428,0.4378,0,0.9706,76.0,5,35.12,0.0,statsbomb_open_data:3942382:Vincenzo Montella
69330,2011-11-06,uruguay_bielsa,Athletic Club,Barcelona,La Liga,2,2,70.0,4-2-3-1,14.792,38.193,37.813,0.3615,0,0.0784,84.0,3,3.95,0.0,statsbomb_open_data:69330:Marcelo Alberto Bielsa Caldera
69323,2012-03-31,uruguay_bielsa,Athletic Club,Barcelona,La Liga,0,2,70.0,4-3-3,13.208,37.245,32.262,0.4281,0,0.3638,45.0,3,0.0,50.65,statsbomb_open_data:69323:Marcelo Alberto Bielsa Caldera
70263,2012-12-01,uruguay_bielsa,Athletic Club,Barcelona,La Liga,1,5,70.0,4-3-3,17.755,39.725,28.737,0.4192,0,0.4171,45.0,3,0.0,68.15,statsbomb_open_data:70263:Marcelo Alberto Bielsa Caldera
267502,2013-04-27,uruguay_bielsa,Athletic Club,Barcelona,La Liga,2,2,70.0,4-2-3-1,10.137,43.102,34.572,0.4102,0,1.29,69.0,3,39.68,20.62,statsbomb_open_data:267502:Marcelo Alberto Bielsa Caldera
3829414,2015-08-08,uruguay_bielsa,Olympique de Marseille,Stade Malherbe Caen,Ligue 1,0,1,70.0,4-2-3-1,8.4,43.586,32.31,0.6942,0,1.0976,45.0,3,0.0,63.63,statsbomb_open_data:3829414:Marcelo Alberto Bielsa Caldera
3939973,2024-06-24,uruguay_bielsa,Uruguay,Panama,Copa America,3,1,86.5,4-2-3-1,13.355,43.757,32.172,0.5159,1,0.7505,45.0,4,74.98,0.0,statsbomb_open_data:3939973:Marcelo Alberto Bielsa Caldera
3939982,2024-06-28,uruguay_bielsa,Uruguay,Bolivia,Copa America,5,0,70.0,4-2-3-1,11.094,51.981,28.7,0.5976,0,1.6401,81.0,5,82.68,0.0,statsbomb_open_data:3939982:Marcelo Alberto Bielsa Caldera
3939990,2024-07-02,uruguay_bielsa,Uruguay,United States,Copa America,1,0,70.0,4-2-3-1,10.906,36.914,31.219,0.4487,0,0.903,26.0,5,24.88,0.0,statsbomb_open_data:3939990:Marcelo Alberto Bielsa Caldera
3942415,2024-07-07,uruguay_bielsa,Uruguay,Brazil,Copa America,0,0,86.5,4-3-3,10.271,46.708,33.798,0.388,0,4.5024,32.0,5,0.0,0.0,statsbomb_open_data:3942415:Marcelo Alberto Bielsa Caldera
3942852,2024-07-11,uruguay_bielsa,Uruguay,Colombia,Copa America,0,1,86.5,4-1-4-1,9.504,38.27,32.557,0.587,1,0.3839,34.0,5,0.0,51.3,statsbomb_open_data:3942852:Marcelo Alberto Bielsa Caldera
3943076,2024-07-14,uruguay_bielsa,Uruguay,Canada,Copa America,2,2,86.5,4-3-3,10.968,37.063,36.306,0.4843,0,3.8853,45.0,5,13.53,10.45,statsbomb_open_data:3943076:Marcelo Alberto Bielsa Caldera
3802839,2022-02-19,usa_pochettino,Paris Saint-Germain,Nantes,Ligue 1,1,3,70.0,4-3-3,11.249,44.215,22.518,0.7217,0,1.7673,64.0,5,0.0,86.58,statsbomb_open_data:3802839:Mauricio Roberto Pochettino Trossero
3802709,2022-02-26,usa_pochettino,Paris Saint-Germain,Saint-Étienne,Ligue 1,3,1,70.0,4-3-3,15.888,39.573,26.376,0.618,1,1.3668,45.0,4,43.68,25.95,statsbomb_open_data:3802709:Mauricio Roberto Pochettino Trossero
3802805,2022-03-05,usa_pochettino,Paris Saint-Germain,OGC Nice,Ligue 1,0,1,70.0,4-3-3,15.467,50.052,24.006,0.5756,2,0.2255,78.0,3,0.0,2.48,statsbomb_open_data:3802805:Mauricio Roberto Pochettino Trossero
3802904,2022-03-13,usa_pochettino,Paris Saint-Germain,Bordeaux,Ligue 1,3,0,70.0,4-3-3,13.294,46.568,23.074,0.5766,2,1.0538,83.0,3,66.52,0.0,statsbomb_open_data:3802904:Mauricio Roberto Pochettino Trossero
3802818,2022-04-03,usa_pochettino,Paris Saint-Germain,Lorient,Ligue 1,5,1,70.0,4-3-3,13.673,48.286,24.043,0.6449,1,0.9633,42.0,3,78.2,0.0,statsbomb_open_data:3802818:Mauricio Roberto Pochettino Trossero
3803000,2022-04-09,usa_pochettino,Paris Saint-Germain,Clermont Foot,Ligue 1,6,1,70.0,4-3-3,13.289,48.655,22.336,0.653,1,1.4097,66.0,5,84.75,0.0,statsbomb_open_data:3803000:Mauricio Roberto Pochettino Trossero
3802983,2022-04-17,usa_pochettino,Paris Saint-Germain,Olympique de Marseille,Ligue 1,2,1,70.0,4-3-3,14.482,47.458,20.247,0.413,0,0.9682,80.0,3,59.42,0.0,statsbomb_open_data:3802983:Mauricio Roberto Pochettino Trossero
3802676,2022-04-23,usa_pochettino,Paris Saint-Germain,Lens,Ligue 1,1,1,70.0,3-4-3,13.258,49.851,20.758,0.6473,0,0.7221,75.0,2,19.93,0.0,statsbomb_open_data:3802676:Mauricio Roberto Pochettino Trossero
3802643,2022-04-29,usa_pochettino,Paris Saint-Germain,Strasbourg,Ligue 1,3,3,70.0,3-4-3,13.5,41.666,22.276,0.569,0,1.5395,80.0,3,26.68,20.52,statsbomb_open_data:3802643:Mauricio Roberto Pochettino Trossero
3802930,2022-05-08,usa_pochettino,Paris Saint-Germain,Troyes,Ligue 1,2,2,70.0,4-2-3-1,15.558,44.502,21.698,0.6171,1,1.9379,76.0,3,42.53,0.0,statsbomb_open_data:3802930:Mauricio Roberto Pochettino Trossero
3802665,2022-05-14,usa_pochettino,Paris Saint-Germain,Montpellier,Ligue 1,4,0,70.0,4-3-3,12.15,47.727,23.423,0.6715,0,1.3289,67.0,5,84.83,0.0,statsbomb_open_data:3802665:Mauricio Roberto Pochettino Trossero
3802948,2022-05-21,usa_pochettino,Paris Saint-Germain,Metz,Ligue 1,5,0,70.0,4-2-3-1,11.504,48.044,24.041,0.7443,3,1.6795,74.0,5,65.82,0.0,statsbomb_open_data:3802948:Mauricio Roberto Pochettino Trossero
