run_id,created_at,mode,completed_before,completed_after,current_after,live_after,tools_success,tools_failed,warnings
00803fadb85a4034a3f6b7a164f7566e,2026-06-21T01:48:01.001259+00:00,dry_run,34,34,104,1,0,0,
7fe62df58dd444738ecf13e2697d9f53,2026-06-22T23:43:21.160895+00:00,apply,41,41,104,1,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
287a37ed70544b3e8bb7a7aefc8367d3,2026-06-23T01:53:02.243944+00:00,apply,41,42,104,1,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
b9eddf41f45f42db9d4c02c1dad49672,2026-06-23T06:05:26.382553+00:00,apply,42,44,104,0,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
6c1646bc144e4c1cad606536c677c16d,2026-06-23T10:02:36.358962+00:00,apply,44,44,104,0,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
39a46144aa1e4e6999ae166f78fa0c86,2026-06-23T12:47:07.702131+00:00,apply,44,44,104,0,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
61e8401da071483c8be4dab56e1927ee,2026-06-23T15:43:41.606106+00:00,apply,44,44,104,0,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
0c805e674b5c49dfb1fed880e952e019,2026-06-23T17:44:04.374495+00:00,apply,44,44,104,1,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
7b893a309ebe4c4a971b73a1c7b23c73,2026-06-23T19:46:21.192231+00:00,apply,44,45,104,0,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
4af4cd2ef4594eca809d11b9f7d1cdfc,2026-06-23T21:22:22.559644+00:00,apply,45,45,104,1,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
76afefc5653043b28894090d9d07df28,2026-06-23T22:46:33.572870+00:00,apply,45,46,104,0,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
248239fde74a4f01bc9e9c1059645068,2026-06-23T23:45:29.243840+00:00,apply,46,46,104,1,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
7f8bbf4b6e7c4a6a95320f5da807d02c,2026-06-24T01:51:01.804553+00:00,apply,46,47,104,0,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
e0522a4237394bb3b5f0d53e0214e8ea,2026-06-24T06:01:18.515589+00:00,apply,47,48,104,0,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
17298b06e0304cb596cfb66ece48ca95,2026-06-24T09:50:53.203816+00:00,apply,48,48,104,0,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
42cb3994346d4a3d94696670415318d5,2026-06-24T12:15:39.209627+00:00,apply,48,48,104,0,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
b71003b974a341b2aec358e1c465e796,2026-06-24T15:15:46.803620+00:00,apply,48,48,104,0,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
f5192345f5624d3cbc4da96fcb736130,2026-06-24T17:25:14.567175+00:00,apply,48,48,104,0,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
57c158765c5d4ad0b5a30795f08a4349,2026-06-24T19:17:41.856500+00:00,apply,48,48,104,2,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
32f1660dc15741e6b722a776ebc24d02,2026-06-24T21:04:15.540408+00:00,apply,48,50,104,0,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
8c6bbdb4465f48dda40150f4688f5413,2026-06-24T22:39:07.853722+00:00,apply,50,50,104,2,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
a10cdf4feed4433aa79cae62449618cb,2026-06-24T23:55:30.615843+00:00,apply,50,50,104,2,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
bcc274b0afd646b0ae12b45c3056270b,2026-06-25T04:22:11.524346+00:00,apply,50,54,104,0,2,0,No confirmed starters were present in the lineup input | Arena settlement skipped for 1: No saved predictions exist for match '1'. | Arena settlement skipped for 2: No saved predictions exist for match '2'. | Arena settlement skipped for 3: No saved predictions exist for match '3'. | Arena settlement skipped for 4: No saved predictions exist for match '4'.
