manager_id,manager_name,team,observed_matches,evidence_confidence,curation_status,skill_version,latest_observation,source,next_action
netherlands_koeman,Ronald Koeman,Netherlands,12,0.4,evidence_backed,0.2-statsbomb-observed,2024-07-10,statsbomb_open_data:3773372:Ronald Koeman|statsbomb_open_data:3773387:Ronald Koeman|statsbomb_open_data:3773457:Ronald Koeman|statsbomb_open_data:3773586:Ronald Koeman|statsbomb_open_data:3773689:Ronald Koeman|statsbomb_open_data:3773695:Ronald Koeman|statsbomb_open_data:3930173:Ronald Koeman|statsbomb_open_data:3930180:Ronald Koeman|statsbomb_open_data:3938637:Ronald Koeman|statsbomb_open_data:3941021:Ronald Koeman|statsbomb_open_data:3942382:Ronald Koeman|statsbomb_open_data:3942819:Ronald Koeman,review observed tactical identity and add public tactical sources
sweden_potter,Graham Potter,Sweden,0,0.0,research_gap,0.1-derived,,,acquire manager-specific match events and public tactical sources
tunisia_lamouchi,Sabri Lamouchi,Tunisia,0,0.0,research_gap,0.1-derived,,,acquire manager-specific match events and public tactical sources
belgium_garcia,Rudi Garcia,Belgium,12,0.4,evidence_backed,0.2-statsbomb-observed,2016-01-09,statsbomb_open_data:3879567:Rudi Garcia|statsbomb_open_data:3879583:Rudi Garcia|statsbomb_open_data:3879592:Rudi Garcia|statsbomb_open_data:3879598:Rudi Garcia|statsbomb_open_data:3879610:Rudi Garcia|statsbomb_open_data:3879617:Rudi Garcia|statsbomb_open_data:3879632:Rudi Garcia|statsbomb_open_data:3879639:Rudi Garcia|statsbomb_open_data:3879651:Rudi Garcia|statsbomb_open_data:3879657:Rudi Garcia|statsbomb_open_data:3879672:Rudi Garcia|statsbomb_open_data:3879676:Rudi Garcia,review observed tactical identity and add public tactical sources
egypt_hassan,Hossam Hassan,Egypt,0,0.0,research_gap,0.1-derived,,,acquire manager-specific match events and public tactical sources
iran_ghalenoei,Amir Ghalenoei,IR Iran,0,0.0,research_gap,0.1-derived,,,acquire manager-specific match events and public tactical sources
new_zealand_bazeley,Darren Bazeley,New Zealand,0,0.0,research_gap,0.1-derived,,,acquire manager-specific match events and public tactical sources
cabo_verde_bubista,Bubista,Cabo Verde,0,0.0,research_gap,0.1-derived,,,acquire manager-specific match events and public tactical sources
saudi_arabia_donis,Georgios Donis,Saudi Arabia,0,0.0,research_gap,0.1-derived,,,acquire manager-specific match events and public tactical sources
spain_de_la_fuente,Luis de la Fuente,Spain,7,0.233,limited_observed,0.2-statsbomb-observed,2024-07-14,statsbomb_open_data:3930160:Luis de la Fuente Castillo|statsbomb_open_data:3930172:Luis de la Fuente Castillo|statsbomb_open_data:3930179:Luis de la Fuente Castillo|statsbomb_open_data:3941018:Luis de la Fuente Castillo|statsbomb_open_data:3942226:Luis de la Fuente Castillo|statsbomb_open_data:3942752:Luis de la Fuente Castillo|statsbomb_open_data:3943043:Luis de la Fuente Castillo,review observed tactical identity and add public tactical sources
uruguay_bielsa,Marcelo Bielsa,Uruguay,11,0.367,evidence_backed,0.2-statsbomb-observed,2024-07-14,statsbomb_open_data:267502:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:3829414:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:3939973:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:3939982:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:3939990:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:3942415:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:3942852:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:3943076:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:69323:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:69330:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:70263:Marcelo Alberto Bielsa Caldera,review observed tactical identity and add public tactical sources
france_deschamps,Didier Deschamps,France,12,0.4,evidence_backed,0.2-statsbomb-observed,2024-07-09,statsbomb_open_data:3857266:Didier Deschamps|statsbomb_open_data:3857275:Didier Deschamps|statsbomb_open_data:3869152:Didier Deschamps|statsbomb_open_data:3869354:Didier Deschamps|statsbomb_open_data:3869552:Didier Deschamps|statsbomb_open_data:3869685:Didier Deschamps|statsbomb_open_data:3930165:Didier Deschamps|statsbomb_open_data:3930173:Didier Deschamps|statsbomb_open_data:3938643:Didier Deschamps|statsbomb_open_data:3941019:Didier Deschamps|statsbomb_open_data:3942349:Didier Deschamps|statsbomb_open_data:3942752:Didier Deschamps,review observed tactical identity and add public tactical sources
iraq_arnold,Graham Arnold,Iraq,4,0.133,limited_observed,0.2-statsbomb-observed,2022-12-03,statsbomb_open_data:3857257:Graham James Arnold|statsbomb_open_data:3857279:Graham James Arnold|statsbomb_open_data:3857288:Graham James Arnold|statsbomb_open_data:3869151:Graham James Arnold,review observed tactical identity and add public tactical sources
norway_solbakken,Stale Solbakken,Norway,0,0.0,research_gap,0.1-derived,,,acquire manager-specific match events and public tactical sources
senegal_thiaw,Pape Thiaw,Senegal,0,0.0,research_gap,0.1-derived,,,acquire manager-specific match events and public tactical sources
algeria_petkovic,Vladimir Petkovic,Algeria,9,0.3,limited_observed,0.2-statsbomb-observed,2021-07-02,statsbomb_open_data:3788744:Vladimir Petković|statsbomb_open_data:3788754:Vladimir Petković|statsbomb_open_data:3788765:Vladimir Petković|statsbomb_open_data:3794691:Vladimir Petković|statsbomb_open_data:3795108:Vladimir Petković|statsbomb_open_data:7533:Vladimir Petković|statsbomb_open_data:7550:Vladimir Petković|statsbomb_open_data:7568:Vladimir Petković|statsbomb_open_data:7586:Vladimir Petković,review observed tactical identity and add public tactical sources
argentina_scaloni,Lionel Scaloni,Argentina,12,0.4,evidence_backed,0.2-statsbomb-observed,2024-07-15,statsbomb_open_data:3857264:Lionel Sebastián Scaloni|statsbomb_open_data:3857289:Lionel Sebastián Scaloni|statsbomb_open_data:3869151:Lionel Sebastián Scaloni|statsbomb_open_data:3869321:Lionel Sebastián Scaloni|statsbomb_open_data:3869519:Lionel Sebastián Scaloni|statsbomb_open_data:3869685:Lionel Sebastián Scaloni|statsbomb_open_data:3939969:Lionel Sebastián Scaloni|statsbomb_open_data:3939977:Lionel Sebastián Scaloni|statsbomb_open_data:3939986:Lionel Sebastián Scaloni|statsbomb_open_data:3942228:Lionel Sebastián Scaloni|statsbomb_open_data:3942785:Lionel Sebastián Scaloni|statsbomb_open_data:3943077:Lionel Sebastián Scaloni,review observed tactical identity and add public tactical sources
austria_rangnick,Ralf Rangnick,Austria,4,0.133,limited_observed,0.2-statsbomb-observed,2024-07-02,statsbomb_open_data:3930165:Ralf Rangnick|statsbomb_open_data:3930180:Ralf Rangnick|statsbomb_open_data:3938641:Ralf Rangnick|statsbomb_open_data:3941022:Ralf Rangnick,review observed tactical identity and add public tactical sources
jordan_sellami,Jamal Sellami,Jordan,0,0.0,research_gap,0.1-derived,,,acquire manager-specific match events and public tactical sources
colombia_lorenzo,Nestor Lorenzo,Colombia,6,0.2,limited_observed,0.2-statsbomb-observed,2024-07-15,statsbomb_open_data:3939975:Néstor Gabriel Lorenzo|statsbomb_open_data:3939984:Néstor Gabriel Lorenzo|statsbomb_open_data:3939991:Néstor Gabriel Lorenzo|statsbomb_open_data:3942416:Néstor Gabriel Lorenzo|statsbomb_open_data:3942852:Néstor Gabriel Lorenzo|statsbomb_open_data:3943077:Néstor Gabriel Lorenzo,review observed tactical identity and add public tactical sources
congo_dr_desabre,Sebastien Desabre,Congo DR,7,0.233,limited_observed,0.2-statsbomb-observed,2024-02-10,statsbomb_open_data:3920395:Sébastien Desabre|statsbomb_open_data:3920405:Sébastien Desabre|statsbomb_open_data:3920418:Sébastien Desabre|statsbomb_open_data:3922240:Sébastien Desabre|statsbomb_open_data:3922356:Sébastien Desabre|statsbomb_open_data:3922838:Sébastien Desabre|statsbomb_open_data:3923880:Sébastien Desabre,review observed tactical identity and add public tactical sources
portugal_martinez,Roberto Martinez,Portugal,12,0.4,evidence_backed,0.2-statsbomb-observed,2024-07-05,statsbomb_open_data:3788757:Roberto Martínez Montoliú|statsbomb_open_data:3788768:Roberto Martínez Montoliú|statsbomb_open_data:3794687:Roberto Martínez Montoliú|statsbomb_open_data:3795107:Roberto Martínez Montoliú|statsbomb_open_data:3857268:Roberto Martínez Montoliú|statsbomb_open_data:3857283:Roberto Martínez Montoliú|statsbomb_open_data:3857296:Roberto Martínez Montoliú|statsbomb_open_data:3930166:Roberto Martínez Montoliú|statsbomb_open_data:3930174:Roberto Martínez Montoliú|statsbomb_open_data:3938644:Roberto Martínez Montoliú|statsbomb_open_data:3941020:Roberto Martínez Montoliú|statsbomb_open_data:3942349:Roberto Martínez Montoliú,review observed tactical identity and add public tactical sources
uzbekistan_cannavaro,Fabio Cannavaro,Uzbekistan,0,0.0,research_gap,0.1-derived,,,acquire manager-specific match events and public tactical sources
croatia_dalic,Zlatko Dalic,Croatia,12,0.4,evidence_backed,0.2-statsbomb-observed,2024-06-24,statsbomb_open_data:3788771:Zlatko Dalić|statsbomb_open_data:3794686:Zlatko Dalić|statsbomb_open_data:3857277:Zlatko Dalić|statsbomb_open_data:3857281:Zlatko Dalić|statsbomb_open_data:3857296:Zlatko Dalić|statsbomb_open_data:3869219:Zlatko Dalić|statsbomb_open_data:3869420:Zlatko Dalić|statsbomb_open_data:3869519:Zlatko Dalić|statsbomb_open_data:3869684:Zlatko Dalić|statsbomb_open_data:3930160:Zlatko Dalić|statsbomb_open_data:3930167:Zlatko Dalić|statsbomb_open_data:3930178:Zlatko Dalić,review observed tactical identity and add public tactical sources
england_tuchel,Thomas Tuchel,England,4,0.133,limited_observed,0.2-statsbomb-observed,2024-02-10,statsbomb_open_data:3890301:Thomas Tuchel|statsbomb_open_data:3890456:Thomas Tuchel|statsbomb_open_data:3895074:Thomas Tuchel|statsbomb_open_data:3895232:Thomas Tuchel,review observed tactical identity and add public tactical sources
ghana_queiroz,Carlos Queiroz,Ghana,6,0.2,limited_observed,0.2-statsbomb-observed,2022-11-29,statsbomb_open_data:3857271:Carlos Manuel Brito Leal Queiróz|statsbomb_open_data:3857273:Carlos Manuel Brito Leal Queiróz|statsbomb_open_data:3857278:Carlos Manuel Brito Leal Queiróz|statsbomb_open_data:7543:Carlos Manuel Brito Leal Queiróz|statsbomb_open_data:7557:Carlos Manuel Brito Leal Queiróz|statsbomb_open_data:7577:Carlos Manuel Brito Leal Queiróz,review observed tactical identity and add public tactical sources
panama_christiansen,Thomas Christiansen,Panama,4,0.133,limited_observed,0.2-statsbomb-observed,2024-07-06,statsbomb_open_data:3939973:Thomas Christiansen Tarín|statsbomb_open_data:3939981:Thomas Christiansen Tarín|statsbomb_open_data:3939989:Thomas Christiansen Tarín|statsbomb_open_data:3942416:Thomas Christiansen Tarín,review observed tactical identity and add public tactical sources
