evaluation_id,match_id,matchup_type,team_a,team_b,team_a_player,team_b_player,predicted_favored_team,observed_favored_team,edge_score,observed_edge,edge_confirmed,evidence_metric,team_a_evidence,team_b_evidence,status,explanation,data_quality,evaluated_at
eval_64bdb427a617e84f375a,2,midfield_control,Korea Republic,Czechia,"Hwang In-beom, Lee Jae-sung, Hwang Hee-chan, Lee Kang-in, Jens Castrop","Vladimír Darida, Pavel Šulc, Michal Sadílek, Tomáš Souček",Czechia,,0.132,,,missing_match_summary,,,not_evaluable,"Prediction favored Czechia; observed missing_match_summary favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",mixed_derived_estimate_and_projected_fallback,2026-06-14T22:51:27.384283Z
eval_750a577ded1ffbc3b66a,3,winger_vs_fullback,Canada,Bosnia and Herzegovina,Alistair Johnston,Kerim Alajbegović,Canada,,0.043,0.0,,named_player_event_impact,0.0,0.0,partial,"Prediction favored Canada; observed named_player_event_impact favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",mixed_derived_estimate_and_projected_fallback,2026-06-14T22:51:27.603746Z
eval_7edf3f16f89106a3db0a,FRA-BRA-TEST,striker_vs_centerbacks,France,Brazil,"Dayot Upamecano, William Saliba",Igor Thiago,France,France,0.177,0.25,True,named_player_event_impact,0.25,0.0,evaluated,"Prediction favored France; observed named_player_event_impact favored France. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",manual_prototype,2026-06-12T04:35:32.034483Z
eval_8a76c1ddbad45fc35866,1,winger_vs_fullback,Mexico,South Africa,Roberto Alvarado,Aubrey Modiba,Mexico,,0.079,0.0,,named_player_event_impact,0.0,0.0,partial,"Prediction favored Mexico; observed named_player_event_impact favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",mixed_derived_estimate_and_projected_fallback,2026-06-14T22:51:27.154393Z
eval_a15e9c3648000ab80ad0,4,midfield_control,USA,Paraguay,"Tyler Adams, Giovanni Reyna, Weston McKennie, Brenden Aaronson, Malik Tillman","Diego Gómez, Andrés Cubas, Kaku, Julio Enciso",USA,,0.083,,,missing_match_summary,,,not_evaluable,"Prediction favored USA; observed missing_match_summary favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",mixed_derived_estimate_and_projected_fallback,2026-06-14T22:51:27.843287Z
eval_a3de315ea586804f683f,4,striker_vs_centerbacks,USA,Paraguay,Chris Richards,Antonio Sanabria,USA,,0.101,0.0,,named_player_event_impact,0.0,0.0,partial,"Prediction favored USA; observed named_player_event_impact favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",mixed_derived_estimate_and_projected_fallback,2026-06-14T22:51:27.843287Z
eval_a6fa4853e79bf2db35a2,1,transition_defense_risk,Mexico,South Africa,,,Mexico,,0.099,,,missing_match_summary,,,not_evaluable,"Prediction favored Mexico; observed missing_match_summary favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",derived_team_profiles,2026-06-14T22:51:27.154393Z
eval_acbfd7b1d1ad4ef390d8,FRA-BRA-TEST,winger_vs_fullback,France,Brazil,Lucas Digne,Raphinha,Brazil,Brazil,0.213,-1.0,True,named_player_event_impact,0.0,1.3,evaluated,"Prediction favored Brazil; observed named_player_event_impact favored Brazil. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",manual_prototype,2026-06-12T04:35:32.034483Z
eval_ad09719dc32f74c1d3da,2,set_piece_edge,Korea Republic,Czechia,,,Czechia,,0.154,,,missing_match_summary,,,not_evaluable,"Prediction favored Czechia; observed missing_match_summary favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",derived_team_profiles,2026-06-14T22:51:27.384283Z
eval_b9c0af9518d7f1374766,2,transition_defense_risk,Korea Republic,Czechia,,,Korea Republic,,0.179,,,missing_match_summary,,,not_evaluable,"Prediction favored Korea Republic; observed missing_match_summary favored neither team. Observed edge is (team A evidence - team B evidence) / max(total absolute evidence, 1). Edge scores remain ranking scores, not probabilities.",derived_team_profiles,2026-06-14T22:51:27.384283Z
